id,classname,red,green,blue,class_eval,trainid,instance_eval
0,unlabeled,0,0,0,0,255,0
1,ambiguous,111,74,0,0,255,0
2,sky,70,130,180,1,0,0
3,road,128,64,128,1,1,0
4,sidewalk,244,35,232,1,2,0
5,railtrack,230,150,140,0,255,0
6,terrain,152,251,152,1,3,0
7,tree,87,182,35,1,4,0
8,vegetation,35,142,35,1,5,0
9,building,70,70,70,1,6,0
10,infrastructure,153,153,153,1,7,0
11,fence,190,153,153,1,8,0
12,billboard,150,20,20,1,9,0
13,trafficlight,250,170,30,1,10,1
14,trafficsign,220,220,0,1,11,0
15,mobilebarrier,180,180,100,1,12,0
16,firehydrant,173,153,153,1,13,1
17,chair,168,153,153,1,14,1
18,trash,81,0,21,1,15,0
19,trashcan,81,0,81,1,16,1
20,person,220,20,60,1,17,1
21,animal,255,0,0,0,255,0
22,bicycle,119,11,32,0,255,0
23,motorcycle,0,0,230,1,18,1
24,car,0,0,142,1,19,1
25,van,0,80,60,1,20,1
26,bus,0,60,100,1,21,1
27,truck,0,0,70,1,22,1
28,trailer,0,0,90,0,255,0
29,train,0,80,100,0,255,0
30,plane,0,100,100,0,255,0
31,boat,50,0,90,0,255,0
