key,oid_boxable_leaf,coco_boxable_name,mvd_boxable_name
accordion,/m/0mkg,,
adhesive_tape,/m/03m3vtv,,
air_conditioner,,,
airplane,/m/0cmf2,airplane,
alarm_clock,/m/046dlr,,
alpaca,/m/0pcr,,
ambulance,/m/012n7d,,
american_football,/m/01226z,,
ant,/m/0_k2,,
antelope,/m/0czz2,,
apple,/m/014j1m,apple,
arm,/m/0dzf4,,
artichoke,/m/047v4b,,
avocado,,,
awning,,,
backpack,/m/01940j,backpack,
bagel,/m/01fb_0,,
ball,,sports ball,
balloon,/m/01j51,,
banana,/m/09qck,banana,
banner,,,object--banner
baozi,,,
bar_soap,,,
barbell,,,
barge,/m/01btn,,
barrel,/m/02zn6n,,
baseball,,,
baseball_bat,/m/03g8mr,baseball bat,
baseball_glove,/m/03grzl,baseball glove,
basket,,,
basketball,,,
bat,/m/01h44,,
bathroom_cabinet,/m/04y4h8h,,
bathtub,/m/03dnzn,,
beaker,/m/0d20w4,,
bear,,bear,
beard,/m/015h_t,,
bed,,bed,
bee,/m/01h3n,,
beehive,/m/01gllr,,
beer,/m/01599,,
bell_pepper,/m/0jg57,,
belt,/m/0176mf,,
bench,/m/0cvnqh,bench,object--bench
bicycle,/m/0199g,bicycle,object--vehicle--bicycle
bicycle_helmet,/m/03p3bw,,
bicycle_wheel,/m/01bqk0,,
bicyclist,,,human--rider--bicyclist
bidet,/m/01vbnl,,
bike_rack,,,object--bike-rack
billboard,/m/01knjb,,object--billboard
billiard_ball,,,
billiard_table,/m/04p0qw,,
binoculars,/m/0lt4_,,
bird,,bird,animal--bird
blender,/m/02pjr4,,
blue_jay,/m/01f8m5,,
board_eraser,,,
boat,,boat,object--vehicle--boat
book,/m/0bt_c3,book,
bookcase,/m/03__z0,,
boot,/m/01b638,,
bottle,/m/04dr76w,bottle,
bow_and_arrow,/m/01g3x7,,
bow_tie,,,
bowl,/m/04kkgm,bowl,
box,/m/025dyy,,
boy,/m/01bl7v,,
bracelet,,,
brassiere,/m/01gmv2,,
bread,/m/09728,,
briefcase,/m/0584n8,,
broccoli,/m/0hkxq,broccoli,
bronze_sculpture,/m/01yx86,,
broom,,,
brown_bear,/m/01dxs,,
brush,,,
bull,/m/0cnyhnx,,
burrito,/m/01j3zr,,
bus,/m/01bjv,bus,object--vehicle--bus
bust,/m/04yqq2,,
butterfly,/m/0cyf8,,
cabbage,/m/0fbw6,,
cabinetry,/m/01s105,,
cake,/m/0fszt,cake,
cake_stand,/m/0h8n6ft,,
calculator,,,
camel,/m/01x_v,,
camera,/m/0dv5r,,
canary,/m/0ccs93,,
candle,/m/0c06p,,
candy,/m/0gm28,,
cannon,/m/020kz,,
canoe,/m/0ph39,,
cantaloupe,,,
car,,car,object--vehicle--car
caravan,,,object--vehicle--caravan
carrot,/m/0fj52s,carrot,
cart,/m/018p4k,,
castle,/m/0d5gx,,
cat,/m/01yrx,cat,
catch_basin,,,object--catch-basin
caterpillar,/m/0cydv,,
cattle,/m/01xq0k1,,
ceiling_fan,/m/03ldnb,,
cello,/m/01xqw,,
centipede,/m/019h78,,
chainsaw,,,
chair,/m/01mzpv,chair,
cheese,,,
cheetah,/m/0cd4d,,
cherry,,,
chest_of_drawers,/m/05kyg_,,
chicken,/m/09b5t,,
chopstick,/m/01_5g,,
christmas_tree,/m/025nd,,
cleaning_products,,,
clock,,clock,
coat,/m/01xygc,,
cocktail,/m/024g6,,
coconut,/m/0djtd,,
coffee,/m/02vqfm,,
coffee_cup,/m/02p5f1q,,
coffee_table,/m/078n6m,,
coffeemaker,/m/07xyvk,,
coin,/m/0242l,,
comb,,,
compact_disc,,,
computer_keyboard,/m/01m2v,keyboard,
computer_monitor,/m/02522,,
computer_mouse,/m/020lf,,
construction_vehicle,,,
convenience_store,/m/0crjs,,
cookie,/m/021mn,,
corded_phone,/m/0h8lkj8,,
corn,,,
cosmetic,,,
cosmetics_mirror,,,
couch,/m/0703r8,couch,
countertop,/m/0b3fp9,,
cow,,cow,
cowboy_hat,/m/025rp__,,
crab,/m/0n28_,,
crane,,,
cricket_ball,/m/02ctlc,,
crocodile,/m/09f_2,,
croissant,/m/015wgc,,
crosswalk_sign,,,
crown,/m/0nl46,,
crutch,/m/05441v,,
cucumber,/m/015x4r,,
cue,,,
cup,,cup,
cupboard,/m/0642b4,,
curling_stone,,,
curtain,/m/03rszm,,
cutting_board,/m/02pdsw,,
cymbal,,,
dagger,/m/02gzp,,
deer,/m/09kx5,,
desk,/m/01y9k5,,
desktop_computer,,,
dessert,,,
dice,/m/029b3,,
digital_clock,/m/06_72j,,
dining_table,,dining table,
dinosaur,/m/029tx,,
dishwasher,,,
dog,/m/0bt9lr,dog,
dog_bed,/m/0h8n6f9,,
doll,/m/0167gd,,
dolphin,/m/02hj4,,
donkey,,,
donut,/m/0jy4k,donut,
door,/m/02dgv,,
door_handle,/m/03c7gz,,
dragonfly,/m/0ft9s,,
drawer,/m/0fqfqc,,
dress,/m/01d40f,,
drinking_straw,/m/03v5tg,,
drum,/m/026t6,,
duck,/m/09ddx,,
dumbbell,/m/04h8sr,,
dumpling,,,
durian,,,
eagle,/m/09csl,,
ear,/m/039xj_,,
earbud,,,
earring,/m/01r546,,
egg,/m/033cnk,,
eggplant,,,
electric_drill,,,
electric_fan,/m/02x984l,,
elephant,/m/0bwd_0j,elephant,
envelope,/m/0frqm,,
eraser,,,
exhaust_hood,,,
extension_cord,,,
eye,/m/014sv8,,
eyeglasses,/m/0jyfg,,
eyeliner_pencil,,,
face,/m/0dzct,,
falcon,/m/0f6wt,,
fedora,/m/02fq_6,,
fig,/m/043nyj,,
filing_cabinet,/m/047j0r,,
fire_extinguisher,,,
fire_hydrant,/m/01pns0,fire hydrant,object--fire-hydrant
fire_truck,,,
fireplace,/m/03tw93,,
fish,,,
fishing_rod,,,
flag,/m/03120,,
flashlight,/m/01kb5b,,
flask,,,
flower,,,
flowerpot,/m/0fm3zh,,
flute,/m/0l14j_,,
folder,,,
food_processor,/m/03y6mg,,
foot,/m/031n1,,
football_helmet,/m/07qxg_,,
fork,/m/0dt3t,fork,
fountain,/m/0220r2,,
fox,/m/0306r,,
french_fries,/m/02y6n,,
french_horn,/m/0319l,,
frisbee,,frisbee,
frog,/m/09ld4,,
frying_pan,/m/04v6l4,,
game_board,,,
garden_asparagus,/m/0cjs7,,
garlic,,,
gas_stove,/m/02wv84t,,
giraffe,/m/03bk1,giraffe,
girl,/m/05r655,,
globe,,,
glove,,,
goat,/m/03fwl,,
goggles,/m/02_n6y,,
goldfish,/m/03fj2,,
golf_ball,/m/044r5d,,
golf_cart,/m/0323sq,,
golf_club,,,
gondola,/m/02068x,,
goose,/m/0dbvp,,
